step,generated_distance,real_distance,ratio
0,12.39191722869873,7.194029808044434,1.7225279237572757
1000,2.387631416320801,7.4070000648498535,0.32234796751945216
2000,3.4281556606292725,7.373331546783447,0.4649398496294088
3000,6.1107683181762695,7.75242805480957,0.7882392812900956
4000,6.1501593589782715,7.469071865081787,0.823416814039575
5000,6.334533214569092,7.294617176055908,0.8683845994498207
6000,6.771238327026367,7.508500576019287,0.9018096567312528
7000,6.834716320037842,7.400711536407471,0.923521513629434
8000,6.039932727813721,7.4383463859558105,0.8119993899743085
9000,6.510508060455322,7.2078680992126465,0.9032501664627436
10000,6.78842830657959,7.79339075088501,0.8710493960294116
11000,3.7568671703338623,7.266634464263916,0.5170023604200131
12000,1.8715678453445435,7.367780685424805,0.2540205694568166
13000,1.0452179908752441,7.475978374481201,0.13981019453494306
14000,0.7220726609230042,7.390970230102539,0.09769659982962567
15000,0.7732067108154297,7.477384090423584,0.10340604434185599
16000,0.7599799036979675,7.679166793823242,0.09896645353624293
17000,0.7556509971618652,6.954237461090088,0.10866051114731647
