step,d_loss,g_loss,r1,d_real,d_fake,d_train_clean,d_validate_clean,seconds_per_step
250,1.7217059135437012,0.49998411536216736,0.0,0.40522822737693787,-0.38826465606689453,-0.004413208458572626,-0.004786828998476267,0.05561416696943343
500,2.0064408779144287,-0.03647109866142273,0.0,0.05824223533272743,0.06040230765938759,-0.03757278621196747,-0.037683941423892975,0.038159401759505274
750,2.0000901222229004,0.05662046745419502,0.0,-0.0564723014831543,-0.05638201907277107,-0.03987780213356018,-0.03987722843885422,0.03591400628536939
1000,2.000000238418579,0.048981551080942154,0.0,-0.0489291176199913,-0.048928674310445786,-0.052302416414022446,-0.05230281502008438,0.03544050087966025
1250,2.0000007152557373,0.05962071567773819,0.0,-0.05950707569718361,-0.05950656533241272,-0.07934001088142395,-0.07934229075908661,0.03532123735547066
1500,2.0021533966064453,0.15042681992053986,0.0,-0.14888504147529602,-0.14682050049304962,-0.2580747604370117,-0.2580927610397339,0.03523996937274933
1750,2.000156879425049,0.1774883270263672,0.0,-0.1776997447013855,-0.17754268646240234,-0.15156175196170807,-0.15157966315746307,0.03550352113135159
2000,2.0016589164733887,0.12935586273670197,0.0,-0.12878529727458954,-0.12712673842906952,-0.12680958211421967,-0.12690488994121552,0.034693829499185085
2250,2.0008323192596436,0.13113953173160553,0.0,-0.13046711683273315,-0.12963435053825378,-0.13679464161396027,-0.13683804869651794,0.03460413813218474
2500,2.0229880809783936,0.1777694970369339,0.0,-0.18081127107143402,-0.15860119462013245,-0.34635743498802185,-0.3453982174396515,0.03453040278889239
