step,generated_distance,real_distance,ratio
0,12.450843811035156,7.194029808044434,1.730718963259299
1000,4.054193496704102,7.4070000648498535,0.547346221305357
2000,5.58574104309082,7.373331546783447,0.7575599995266118
3000,6.162272930145264,7.75242805480957,0.794882956227142
4000,6.613018035888672,7.469071865081787,0.8853868533257524
5000,6.61749792098999,7.294617176055908,0.9071754913625192
6000,6.83789587020874,7.508500576019287,0.9106872671819018
7000,7.2679033279418945,7.400711536407471,0.9820546703094382
8000,6.867005825042725,7.4383463859558105,0.9231898420337318
9000,4.526401996612549,7.2078680992126465,0.6279806919756192
10000,1.9491838216781616,7.79339075088501,0.2501072875701522
11000,1.1353775262832642,7.266634464263916,0.15624530611342288
