step,d_loss,g_loss,r1,d_real,d_fake,d_train_clean,d_validate_clean,seconds_per_step
100,2.947308301925659,8.275606155395508,0.13950860500335693,1.079524040222168,-3.819186210632324,-0.15821392834186554,-0.15333876013755798,0.5055371921882034
200,1.2601280212402344,1.0186961889266968,0.0006666870904155076,0.39229530096054077,-0.3308776319026947,1.4545657634735107,1.4790370464324951,0.33161989410873505
300,1.3662632703781128,0.8290884494781494,0.0005250712856650352,0.17913444340229034,-0.1617262065410614,-0.08949203789234161,-0.0909632220864296,0.331998085109517
400,1.3784006834030151,0.7297295331954956,1.9289493138785474e-05,-0.024563277140259743,-0.05455932021141052,0.028077764436602592,0.027632741257548332,0.33208228992763905
500,1.4106855392456055,0.7609411478042603,5.941461495240219e-05,0.03188396990299225,-0.033421941101551056,-0.3494938015937805,-0.3502829670906067,0.33235811960417777
600,1.3903465270996094,0.7254854440689087,2.983520971611142e-05,0.015747856348752975,-0.03185467794537544,0.023191392421722412,0.023574676364660263,0.3323444974096492
700,5.860422134399414,3.1272265911102295,0.09073456376791,-3.863642692565918,-1.1218798160552979,-2.657315731048584,-2.6540286540985107,0.33221985750366
800,1.7117012739181519,1.3804601430892944,0.002019105479121208,0.22853797674179077,-0.6302481889724731,0.46103647351264954,0.45801880955696106,0.3322316312417388
900,1.308097243309021,0.8050105571746826,0.000467890000436455,0.30389273166656494,-0.07499345391988754,0.33898815512657166,0.3336586654186249,0.33210126429330555
1000,1.3507211208343506,0.6326323747634888,0.0004172249755356461,0.422147661447525,0.20747306942939758,-0.10699553787708282,-0.10669834911823273,0.3322099499963224
1100,1.3754023313522339,0.7381702065467834,2.6276584321749397e-05,-0.04592812433838844,-0.0803939551115036,0.06991028785705566,0.06782959401607513,0.33211094297003
1200,1.3667713403701782,0.7367140650749207,0.00022851349785923958,0.03211579844355583,-0.053118061274290085,0.4998607039451599,0.49963921308517456,0.33210036559030415
1300,1.382476568222046,0.719265341758728,0.0001460932253394276,-0.018146459013223648,-0.039422571659088135,-0.008848188444972038,-0.00879689957946539,0.33212444514036177
1400,1.3856556415557861,0.6912397742271423,1.5566307354220044e-07,0.005560983903706074,0.004232946317642927,0.039336834102869034,0.03975013270974159,0.33227666494902225
1500,7.731396198272705,4.082139015197754,0.1314718872308731,-0.0374278649687767,0.61842942237854,-0.15120872855186462,-0.14918974041938782,0.3320968384668231
1600,2.207606077194214,1.4785195589065552,0.016688335686922073,-0.3950052559375763,-0.5855429172515869,0.04125522822141647,0.03489760309457779,0.3322177466517314
1700,1.311357855796814,0.867572009563446,0.004192523192614317,0.24246329069137573,-0.15121974050998688,-0.04691104590892792,-0.05131077021360397,0.3321837212098762
1800,1.3722209930419922,0.7188451886177063,0.0009604376973584294,0.05704881623387337,-0.016797039657831192,0.0687265619635582,0.07027709484100342,0.33238232077099383
1900,1.3551703691482544,0.8055691123008728,0.001981470501050353,0.1295517086982727,-0.0877457708120346,0.03686258941888809,0.04036115109920502,0.33219414710067213
2000,2.1818482875823975,1.2029694318771362,0.003983094822615385,0.08774776011705399,0.2649643123149872,0.29626619815826416,0.31859102845191956,0.33212142255622895
2100,1.4356180429458618,1.0041613578796387,0.0018644537776708603,0.14707109332084656,-0.2406187504529953,-0.2510634958744049,-0.2518823742866516,0.33134341132361445
2200,1.2848831415176392,0.9092525243759155,0.005082288291305304,0.3649606704711914,-0.2335222065448761,0.05807220935821533,0.060351043939590454,0.33179054873995484
2300,1.3599869012832642,0.7285701036453247,0.0006428095512092113,0.07132939994335175,-0.021452700719237328,-0.15111160278320312,-0.14534157514572144,0.33190745481755585
2400,1.3856256008148193,0.7067911624908447,0.00020844109531026334,-0.007786729838699102,-0.02029022015631199,0.013389242812991142,0.013999542221426964,0.33219686689786615
2500,1.3813775777816772,0.7098278403282166,0.00014979581465013325,0.004268404562026262,-0.012473125010728836,0.0066004260443151,0.009282267652451992,0.3320975914504379
2600,2.1064469814300537,1.2084749937057495,0.0005256812437437475,-0.15551069378852844,-0.20964263379573822,0.28310465812683105,0.29909324645996094,0.3322385038016364
2700,1.3820312023162842,0.709393322467804,0.00010246255988022313,-0.0013367304345592856,-0.01778591051697731,-0.006011306308209896,-0.004492913372814655,0.3321228874800727
2800,1.4832602739334106,0.792601466178894,0.003575403243303299,0.1660345494747162,0.05558926984667778,-0.17633557319641113,-0.1736687272787094,0.33219711472745983
2900,33844.6171875,811.8269653320312,6627.25537109375,-688.9299926757812,-325.61895751953125,1.8404043912887573,2.043382406234741,0.3319858055189252
3000,1.6829993724822998,1.773013710975647,0.1275911182165146,1.275423288345337,-1.2067419290542603,2.896713972091675,2.9296205043792725,0.3322268303576857
3100,2.0589141845703125,1.4247288703918457,0.10588344931602478,0.8281226754188538,-0.627310037612915,2.323361873626709,2.465205669403076,0.33221129688899964
3200,2.0596468448638916,1.136781930923462,0.0554206408560276,0.25867778062820435,-0.2484707087278366,1.7645741701126099,1.839890956878662,0.3323214025609195
3300,1.9394681453704834,0.9727007746696472,0.029888734221458435,0.002275574253872037,-0.08327099680900574,1.3909295797348022,1.4991424083709717,0.33222273577935996
3400,1.639110803604126,0.9441751837730408,0.015546249225735664,0.07632260024547577,-0.16638636589050293,0.8096705675125122,0.825482189655304,0.3323740423563868
3500,1.6328110694885254,0.8366426825523376,0.008481133729219437,-0.01753075234591961,-0.037258751690387726,0.7345675230026245,0.7604552507400513,0.332304947739467
3600,1.5427711009979248,0.7537220120429993,0.002535229315981269,-0.05014893785119057,0.013957638293504715,0.056777626276016235,0.056276459246873856,0.3322703563375399
3700,1.465866208076477,0.7094798684120178,0.0006245972472243011,-0.04496028274297714,0.025264963507652283,-0.1758720874786377,-0.17868179082870483,0.3322314146813005
3800,1.423681616783142,0.7137020826339722,0.0002753077424131334,-0.013885829597711563,0.004031590651720762,-0.31533393263816833,-0.31314682960510254,0.3322274113586172
3900,8.940373420715332,2.7226386070251465,0.2199609875679016,2.050448179244995,2.2583937644958496,-0.06481602787971497,-0.06944242119789124,0.33203064255882053
4000,1.3810100555419922,0.7179486155509949,4.2774299799930304e-05,0.009679908864200115,-0.02902381308376789,-0.35270339250564575,-0.348895788192749,0.3322074186988175
4100,1.3834961652755737,0.7109001278877258,2.5214427296305075e-05,0.006923736073076725,-0.024660751223564148,-0.007943161763250828,-0.006871470250189304,0.33168390929698943
4200,1.3853366374969482,0.7138705253601074,3.446014306973666e-05,-0.0037711344193667173,-0.027947410941123962,0.08901165425777435,0.09095115214586258,0.3313610491901636
4300,1.3878530263900757,0.7069593071937561,3.1441639293916523e-05,-0.0001545366831123829,-0.015130742453038692,-0.008721478283405304,-0.007796797901391983,0.3317933509172872
4400,1.3778159618377686,0.7148107886314392,5.626818165183067e-05,-0.0002509808400645852,-0.03136536106467247,0.16993394494056702,0.17536649107933044,0.33201803658157586
4500,2.6151812076568604,1.429469108581543,0.00239016255363822,-0.14371678233146667,-0.1753503382205963,-0.08422527462244034,-0.0810527354478836,0.3319823038391769
4600,1.3845840692520142,0.7091392874717712,0.00013185525313019753,-0.02516876347362995,-0.030493145808577538,-0.01658477634191513,-0.013479411602020264,0.3318863832205534
4700,1.3873134851455688,0.8073831796646118,0.0003094178100582212,0.07148464769124985,-0.04543076083064079,-0.10959479957818985,-0.09612053632736206,0.3319465978536755
4800,1.4093705415725708,0.6945799589157104,0.00048756852629594505,0.09466594457626343,0.04072404280304909,-0.005597776733338833,-0.0056662107817828655,0.33199490802362563
4900,1.3773877620697021,0.7337116003036499,9.827096801018342e-05,0.028854863718152046,-0.04163898527622223,-0.02142312563955784,-0.0187921654433012,0.3320521539775655
5000,2.188182830810547,1.3984061479568481,0.025780770927667618,-0.38485994935035706,-0.3414117693901062,0.0716637670993805,0.07375313341617584,0.33216223650146276
5100,4.943704605102539,0.8489075303077698,0.25687721371650696,2.2981863021850586,2.1502525806427,0.09656018018722534,0.10268311947584152,0.3320220228563994
5200,1.422058343887329,0.9642207026481628,0.0014092002529650927,0.12378643453121185,-0.14963281154632568,0.10317486524581909,0.10967749357223511,0.3321837015403435
5300,1.3525973558425903,0.7979271411895752,0.002169249579310417,0.1174590066075325,-0.11186443269252777,-0.010909713804721832,-0.010332358069717884,0.332234743242152
5400,1.3850092887878418,0.6963515281677246,1.6180629245354794e-06,-0.0036784878466278315,-0.006284559145569801,0.0024781376123428345,0.0027281297370791435,0.33214069340843705
5500,1.3821423053741455,0.6965247988700867,7.164167527662357e-06,0.0026267236098647118,-0.005784969311207533,-0.0010830068495124578,-0.0009596076561138034,0.3320425671292469
5600,1.3853689432144165,0.6940702795982361,4.6595127969339956e-06,0.0006187965045683086,-0.001311774249188602,0.017246533185243607,0.017724795266985893,0.3322349766176194
5700,1.4524105787277222,0.7735084891319275,0.0008094697841443121,-0.009634656831622124,-0.05302207171916962,-0.015809902921319008,-0.015672672539949417,0.33219916784670206
5800,1.3842202425003052,0.6941843032836914,6.503334134322358e-06,0.006111267488449812,0.0015834071673452854,-0.013492384925484657,-0.013719959184527397,0.33214429174084215
5900,193.95782470703125,66.76787567138672,22.419328689575195,-55.85537338256836,-27.859893798828125,0.18523743748664856,0.17897990345954895,0.33194909109734
6000,0.9222497940063477,2.873002052307129,0.021810289472341537,2.218292713165283,-2.4544742107391357,1.1573147773742676,1.186740756034851,0.33192143955267966
6100,0.8772948980331421,2.0987820625305176,0.02276477962732315,1.6911654472351074,-1.607356071472168,2.710057258605957,2.696416139602661,0.33126127764116975
6200,1.3954991102218628,0.883569598197937,0.009555141441524029,0.20524291694164276,-0.1524132937192917,0.4184933006763458,0.3845994770526886,0.3313657115306705
6300,1.8322101831436157,1.046425700187683,0.007680644281208515,0.8071687817573547,0.11163507401943207,0.820255696773529,0.8178612589836121,0.3318519816501066
6400,1.2304986715316772,1.0085996389389038,0.002885088324546814,0.3079553544521332,-0.38107767701148987,1.6899402141571045,1.6730830669403076,0.3318181941797957
6500,1.2748420238494873,1.0183124542236328,0.007645107805728912,0.37180155515670776,-0.2915027439594269,0.2671770453453064,0.3392936587333679,0.33212722999043764
6600,1.311472773551941,0.8478884696960449,0.004268299788236618,0.19422009587287903,-0.1484665423631668,-0.6580343246459961,-0.6261213421821594,0.3320355041604489
