step,generated_distance,real_distance,ratio
0,10.773728370666504,7.188556671142578,1.4987331760095985
1000,5.7117204666137695,7.398554801940918,0.7720048873754873
2000,4.030213832855225,7.367384433746338,0.5470345506058856
3000,4.65433406829834,7.74980354309082,0.6005744587484177
4000,7.69249963760376,7.465317726135254,1.030431646689754
5000,4.950053691864014,7.288575649261475,0.6791524064603192
6000,3.658874273300171,7.5060601234436035,0.48745603061084536
7000,3.725046396255493,7.395345687866211,0.5037014567645297
