step,d_loss,g_loss,r1,d_real,d_fake,d_train_clean,d_validate_clean,seconds_per_step
100,1.493180513381958,1.359858512878418,0.0035442407242953777,0.423159658908844,-0.3755531907081604,0.2547280192375183,0.24086377024650574,0.2447705171816051
200,1.3616142272949219,0.8305397629737854,0.0012036864645779133,0.036081019788980484,-0.18484313786029816,-0.13944710791110992,-0.14006944000720978,0.1358817353611812
300,1.3712044954299927,0.7264816761016846,0.0007024568622000515,0.026883866637945175,-0.036487046629190445,0.07503923773765564,0.07837128639221191,0.1362839879421517
400,1.3756846189498901,0.7408216595649719,0.0010193579364567995,0.011712840758264065,-0.05132436007261276,-0.12940171360969543,-0.13245974481105804,0.13646921542938797
500,1.3809086084365845,0.7141261696815491,0.0003531076945364475,-0.00426254840567708,-0.027412449941039085,0.002195573877543211,0.0016250328626483679,0.1367026927601546
600,1.3822479248046875,0.6989865899085999,0.0002778085763566196,0.03739069774746895,0.011886711232364178,-0.0687723457813263,-0.06700710952281952,0.1368208097293973
700,1.384851098060608,0.701431155204773,3.192914664396085e-05,-0.0011331146815791726,-0.005937584675848484,-0.0677359327673912,-0.06823769956827164,0.1369493952812627
800,1.3856048583984375,0.6967613101005554,2.7932544981013052e-05,-0.000648473622277379,-0.002995138056576252,-0.0030719293281435966,-0.00418452825397253,0.13717639222741126
900,1.385610818862915,0.6994049549102783,3.812926297541708e-05,0.00024202147324103862,-0.0025644791312515736,0.05140611529350281,0.05762933939695358,0.13716859242878854
1000,2.885179042816162,1.0249472856521606,0.02162265032529831,0.7040510177612305,0.8248944878578186,0.4705721437931061,0.47232985496520996,0.13729459064081312
1100,1.3831018209457397,1.0371419191360474,0.0077289086766541,0.18977798521518707,-0.23360034823417664,0.21407990157604218,0.21752363443374634,0.1372815711516887
1200,1.3119213581085205,0.8212569952011108,0.013584240339696407,0.20053744316101074,-0.14684903621673584,0.1754586398601532,0.17861635982990265,0.1373855697317049
1300,1.370829701423645,0.7457640767097473,0.004561105743050575,0.03896808251738548,-0.04714556410908699,0.009804852306842804,0.013416994363069534,0.13743677182123065
1400,1.372266173362732,0.7544395327568054,0.003428650787100196,0.03428848832845688,-0.03596816956996918,0.037114571779966354,0.036184027791023254,0.13751024959143252
1500,1.3653643131256104,0.7753625512123108,0.0041283597238361835,0.051410190761089325,-0.050051722675561905,0.29779931902885437,0.3018397092819214,0.1374855510517955
1600,1.3644680976867676,0.7835372090339661,0.004816862754523754,0.08054342120885849,-0.035099372267723083,-0.027932828292250633,-0.025880392640829086,0.13753974126186222
1700,1.3545935153961182,0.8119083046913147,0.006525375880300999,0.09438949078321457,-0.06619559228420258,0.34904593229293823,0.35751381516456604,0.13752596305217593
1800,1.3583849668502808,0.7843812108039856,0.0058901081793010235,0.06698016077280045,-0.06380535662174225,0.02913013845682144,0.034447699785232544,0.1375631367508322
