step,generated_distance,real_distance,ratio
0,11.976903915405273,7.194029808044434,1.664839350820118
1000,3.194103240966797,7.4070000648498535,0.431227651276056
2000,2.63326358795166,7.373331546783447,0.35713348453731186
3000,5.496041774749756,7.75242805480957,0.7089445701260055
4000,6.527583599090576,7.469071865081787,0.8739484258555997
5000,6.436099529266357,7.294617176055908,0.8823080600298563
6000,6.834030628204346,7.508500576019287,0.9101724850406127
7000,7.072113037109375,7.400711536407471,0.9555990667003341
8000,7.067863941192627,7.4383463859558105,0.9501929023549261
9000,6.899786472320557,7.2078680992126465,0.9572575936946262
10000,7.207306385040283,7.79339075088501,0.9247972564729708
11000,7.0619964599609375,7.266634464263916,0.9718386819497591
12000,7.47166633605957,7.367780685424805,1.014099992259579
13000,7.047760486602783,7.475978374481201,0.9427208230911804
14000,7.1099019050598145,7.390970230102539,0.9619713899133341
15000,7.200278282165527,7.477384090423584,0.9629408085893366
16000,6.995421409606934,7.679166793823242,0.9109609932204779
17000,7.272413730621338,6.954237461090088,1.045752862382323
18000,7.270717144012451,7.173369407653809,1.0135707128444793
19000,7.284759521484375,7.646864414215088,0.952646617866327
20000,7.309146881103516,7.558359622955322,0.9670281973492068
21000,7.304378986358643,7.592278480529785,0.9620799612514933
22000,7.411136627197266,7.622294902801514,0.9722972833907754
23000,7.2649664878845215,7.168916702270508,1.013398089223661
24000,6.9712395668029785,7.392065048217773,0.943070646880163
25000,7.237054347991943,7.2174763679504395,1.0027125797222476
26000,7.018293857574463,7.421760082244873,0.9456373932599054
27000,7.093533515930176,7.122467517852783,0.9959376435413594
28000,7.167450904846191,7.607388496398926,0.9421696957160811
29000,7.013527870178223,7.296263694763184,0.9612492316049526
30000,7.243238925933838,7.404461860656738,0.9782262455048151
31000,6.997803211212158,7.174169540405273,0.9754164815593204
32000,7.124554634094238,7.136560916900635,0.9983176374522407
33000,7.018466949462891,7.433318138122559,0.9441903089641678
34000,7.017658233642578,7.396181106567383,0.9488218490771274
35000,6.923065662384033,7.213811874389648,0.959695897665724
36000,6.908960342407227,7.224642753601074,0.9563047721582499
37000,7.18161678314209,7.395580291748047,0.9710687329235413
38000,7.356692790985107,7.176590442657471,1.0250958097395544
39000,6.825092792510986,7.274540901184082,0.9382162923023859
40000,7.233605861663818,7.416243553161621,0.9753732883516288
