epoch,train_loss,train_reconstruction,train_kl,val_loss,val_reconstruction,val_kl,epoch_seconds
1,19036.214662665563,18826.73739522972,209.47728061518131,17320.27201450893,17144.103850446427,176.16807686941965,7.123113224748522
2,16677.608679765108,16505.817065914736,171.79166720560843,16774.218582589285,16616.161886160713,158.05677054268972,5.058505143970251
3,16452.73035880588,16289.62431769971,163.1060333251953,16601.366964285713,16448.68119419643,152.68571079799108,5.360107298009098
4,16328.412494179429,16172.401942777318,156.01053634542504,16525.299190848214,16375.996065848214,149.30316423688615,5.20831716991961
5,16245.409506286216,16101.354779982408,144.054741562597,16555.141266741073,16419.186886160714,135.95447453090122,5.1163158137351274
6,16187.188702918047,16055.006632217508,132.1820645111286,16464.419252232143,16340.757198660714,123.662060546875,5.226375890895724
7,16133.756551376242,16014.547185430463,119.20937711197809,16437.133147321427,16334.660630580358,102.47257167271205,5.192531468346715
8,16089.377121274834,15982.311588110513,107.06550229306252,16410.93071986607,16310.860909598214,100.06974574497768,5.312332128640264
9,16050.206261641142,15952.98471776697,97.22153624477765,16415.440094866073,16323.588699776787,91.85128675188336,5.1573465508408844
10,16019.967514745447,15936.297402085058,83.67009457215568,16395.097739955356,16318.642075892858,76.45563637869698,5.126075647305697
11,15990.891459281871,15917.603108185016,73.28837388398631,16394.656389508928,16328.709375,65.94706649780274,5.032185525167733
12,15976.563078823468,15908.125171383484,68.43792133457613,16393.404910714286,16325.3568359375,68.04795270647321,5.284580892883241
13,15962.3388671875,15893.838042606581,68.50079909065701,16397.255189732143,16329.560546875,67.69468492780413,5.289110063109547
14,15953.227222164734,15884.433186310016,68.79404376200493,16382.266350446429,16315.761551339287,66.50484837123327,5.2547220680862665
15,15940.156815888866,15871.230986134105,68.92582861792962,16402.507924107143,16331.43959263393,71.068346623012,5.136643901001662
16,15930.528051919495,15862.162461842921,68.36559085972262,16390.408844866073,16328.110267857142,62.29856567382812,5.248735752888024
17,15921.154135192466,15854.77681019764,66.37733079266074,16399.148325892857,16333.521847098214,65.62629296439034,5.1405140701681376
18,15913.481658733444,15846.991223872103,66.49042654984834,16405.077622767858,16340.991936383929,64.0858307974679,5.106727486010641
19,15905.082399886176,15838.349444458816,66.73296290517642,16407.98560267857,16344.875502232142,63.11020943777902,5.204522462096065
20,15897.520863514073,15830.664699529181,66.85617451951994,16418.845731026784,16355.2947265625,63.55107149396624,5.174114702735096
21,15891.673061749792,15824.673398049463,66.99967643283061,16438.95611049107,16367.372991071428,71.58314666748046,5.075686304364353
22,15887.577274549876,15820.439834695779,67.13746848959008,16420.779296875,16355.660212053572,65.1190900530134,5.246258667204529
23,15878.127480210058,15810.839426609065,67.28805511676713,16420.95259486607,16355.169168526785,65.78345435006278,5.246369096916169
24,15875.379433335058,15807.933664890315,67.44575225122718,16414.570396205356,16346.5037109375,68.0667236328125,5.265864532906562
25,15870.985797806292,15803.458175962334,67.52763537223765,16435.932700892856,16366.928208705358,69.00445196969169,5.223615070339292
26,15864.864215775042,15797.202361858444,67.66184350828462,16465.17728794643,16399.684486607144,65.4928706577846,5.047659678850323
27,15862.576964119413,15794.738177773179,67.83874850241554,16433.65326450893,16368.079324776785,65.57393493652344,5.2132055051624775
28,15855.2434065863,15787.226475191432,68.01691959709521,16439.660825892857,16373.947014508929,65.71384004865374,5.220794789027423
29,15850.508701753932,15782.451585782284,68.0571181189935,16443.70728236607,16379.349302455357,64.35806481497629,5.241237160284072
30,15848.171810326987,15780.011518263658,68.1602900044018,16433.374330357143,16366.847321428571,66.52702146257673,5.049785413313657
