step,d_loss,g_loss,r1,d_real,d_fake,d_train_clean,d_validate_clean,seconds_per_step
250,1.3749195337295532,0.7614575624465942,0.0031484682112932205,0.1292330026626587,-0.03352586179971695,0.046840790659189224,0.0451342798769474,0.05521907203644514
500,1.385811686515808,0.6981504559516907,0.00022203940898180008,0.0010150254238396883,-0.002480832627043128,-0.0042642345651984215,-0.0047620320692658424,0.03857676145620644
750,1.3863108158111572,0.6946148872375488,4.377424193080515e-05,0.0003397145483177155,-0.00016137497732415795,-0.003050694242119789,-0.0030241720378398895,0.038593325337395075
1000,1.386359691619873,0.6937670707702637,7.765981536067557e-06,-0.00013759675493929535,-0.0001236467360286042,-0.002057746285572648,-0.0019461720949038863,0.03860131470672786
1250,1.386311411857605,0.6936554908752441,6.46138278170838e-06,7.817816367605701e-06,-4.6119119360810146e-05,0.007291561923921108,0.007331653963774443,0.03861280109919608
1500,1.3863283395767212,0.6936303973197937,4.88144996779738e-06,-1.2253810382389929e-05,-1.615594192116987e-05,0.004821304231882095,0.004665568470954895,0.038612402599304915
1750,1.3876358270645142,0.6954638957977295,1.3232589481049217e-05,-0.00047130341408774257,0.0014721265761181712,0.0026529240421950817,0.002651082118973136,0.03861274901218712
2000,1.3862899541854858,0.6943774819374084,3.324226418044418e-05,0.0007058917544782162,0.00023485896235797554,0.007164766080677509,0.008559832349419594,0.038625375187024476
2250,1.3859983682632446,0.6988136172294617,0.00017293859855271876,0.0009810344781726599,-0.0019456824520602822,-0.10088614374399185,-0.10063686966896057,0.038625747276470064
2500,1.384830117225647,0.7029560208320618,0.0004184108693152666,0.003913255408406258,-0.004919752478599548,0.009421022608876228,0.0019903499633073807,0.0386242048162967
