epoch,train_loss,train_reconstruction,train_kl,val_loss,val_reconstruction,val_kl,epoch_seconds
1,19307.120362944952,18480.173071450747,5.512981843178635,17907.582198660715,17162.291238839287,4.968606335776193,6.346167732030153
2,17622.923103787252,16869.476491359685,5.022977421615297,17713.710825892857,16959.12723214286,5.030556406293597,5.55223274929449
3,17587.052954263247,16829.569468517177,5.049889978194079,17770.13828125,17039.782393973215,4.869037505558559,5.581099588889629
4,17576.814000413906,16817.17582005381,5.064254834951944,17807.480552455356,17027.879296875,5.197339916229248,5.465160173829645
5,17552.52773178808,16800.548967171977,5.013191587877589,17658.368722098214,16920.110463169643,4.921721799033029,6.063694660086185
6,17535.582690914736,16787.21734012831,4.989102415691148,18888.657310267856,18128.47533482143,5.067879813058036,5.682384196668863
7,17536.518632295116,16781.586642435843,5.032879791512395,17747.144196428573,16926.73660714286,5.469384316035679,5.599936522077769
8,17520.928730339405,16773.941280137624,4.9799164967821135,17941.441713169643,17223.972544642857,4.783127239772251,5.96876466087997
9,17520.469099234273,16779.842705530835,4.9375090034592235,17639.58133370536,16920.194503348215,4.795911598205566,5.747884469106793
10,17528.49282776283,16778.54046913804,4.999682325401054,17864.647154017857,17152.482979910714,4.747761740003313,5.70852108579129
11,17508.824975424253,16765.016394608858,4.958724094542447,18846.493136160716,18110.504910714284,4.906588622501919,5.585575868841261
12,17506.54863410596,16763.036362401697,4.956748820298555,17682.821763392858,16958.38482142857,4.8295798574175155,5.596360382158309
13,17503.905933102236,16762.432313224337,4.943157443937087,17655.02388392857,16913.561607142856,4.943081774030413,5.655975006055087
14,17289.97269505381,16813.401606477648,3.1771409478013877,17119.005496651786,16923.587751116072,1.3027846302304948,5.560004371218383
15,17019.132547340647,16836.968543046358,1.214426821233421,17111.307728794643,16930.23384486607,1.2071573240416391,5.664676113985479
16,17013.228334540563,16832.872642668666,1.2023712665039972,17111.257477678573,16912.083314732143,1.32782769543784,5.5483839167281985
17,17014.781230598095,16833.08316302773,1.2113206193147117,17068.992103794644,16917.62787388393,1.0090942987373897,5.697879181243479
18,17012.05132450331,16832.198158112584,1.199021011196225,17120.368080357144,16923.218722098216,1.3143284491130285,5.690797715913504
19,17010.571987531042,16829.983482512416,1.2039232700076323,17106.836049107143,16909.524832589286,1.315407861982073,5.478234670124948
20,17009.349861599752,16826.747804351202,1.217347260539895,17100.989453125,16921.296568080357,1.1979539275169373,5.958582278806716
21,17007.250607926326,16826.991198002896,1.2017291732971243,17074.98507254464,16922.53934151786,1.016304303918566,5.6362904300913215
22,17000.304609892384,16820.017927359273,1.2019111429223952,17092.49732142857,16916.02078683036,1.1765108789716447,5.66483161598444
23,17001.316270436673,16820.919103761382,1.2026478940287963,17081.086077008928,16908.996902901785,1.1472614560808454,5.498244036920369
24,16999.48921254139,16819.025843336094,1.203088900111369,17082.134263392858,16907.674944196428,1.163062025819506,5.970242508221418
25,17000.980197123343,16819.963941561466,1.206774693253814,17077.67474888393,16916.374386160714,1.0753357768058778,5.775047797244042
26,16999.55869722682,16817.41270760037,1.214306817544217,17097.946177455357,16903.757003348215,1.2945948106901985,5.459265348967165
27,16997.98432326159,16815.037672030216,1.219644262695944,17094.672628348213,16924.390541294644,1.1352133563586644,5.592527200933546
28,16998.164431136174,16815.787875750208,1.215843275288083,17094.172935267856,16923.225809151787,1.1396479180880956,6.068888518959284
29,16997.58071192053,16815.350078254345,1.2148708160349866,17086.7513671875,16911.24564732143,1.170038117681231,5.481460701674223
30,16997.104330504968,16813.230737143003,1.2258237708878044,17085.933231026786,16914.1650390625,1.1451216493334089,5.321846665814519
