epoch,train_accuracy,train_loss,test_accuracy,test_loss,epoch_seconds,lr
1,0.41999198717948716,1.5664264779824477,0.5511,1.2399865356445312,7.120998831931502,0.00689638754100981
2,0.6068509615384615,1.0965014550930414,0.6368,1.0783937858581543,6.262489601038396,0.015236005964551033
3,0.7045472756410256,0.8429593955859159,0.7009,0.8769470819473266,6.23861291911453,0.028012406649843655
4,0.7571113782051282,0.7012578751032169,0.736,0.784942010307312,6.272451024968177,0.04368369760672803
5,0.7895833333333333,0.611086848913095,0.7247,0.8498155857086181,6.258227840997279,0.06035862334024337
6,0.8136017628205128,0.5450832072740946,0.7634,0.7340610314369201,6.222438870929182,0.07602480688614728
7,0.8315304487179487,0.49084686308335035,0.8147,0.5683215752601624,6.217049399390817,0.08879160912620936
8,0.8462740384615385,0.4481049106289179,0.8045,0.5955256904125213,6.282810915261507,0.09711829643765246
9,0.8565905448717949,0.4182166391076186,0.8288,0.5035153333187103,6.257825346197933,0.09999999632150469
10,0.864042467948718,0.39396895942015525,0.8266,0.5384528374671936,6.240890313871205,0.09943868137163711
11,0.8716546474358975,0.3734160222686254,0.8203,0.5287713243484498,6.21020117495209,0.09777299244255842
12,0.8787860576923077,0.35418792901894985,0.8391,0.49297166423797606,6.286687884945422,0.09504013827247612
13,0.8821113782051282,0.3409236443730501,0.8502,0.45270940475463867,6.27238259697333,0.0913011663076443
14,0.8873197115384616,0.3275237459784899,0.8557,0.4329995368003845,6.262048344127834,0.08663959900329207
15,0.8928285256410257,0.311454756748982,0.8138,0.5795631254196167,6.277949089650065,0.08115956806999063
16,0.8932892628205128,0.30807070919336416,0.8571,0.4340587833404541,6.2221743860282,0.07498348834331135
17,0.8993589743589744,0.29612186623689457,0.8527,0.4726251386642456,6.308323599863797,0.06824932323868377
18,0.9025040064102564,0.2840925036332546,0.8548,0.4452151337623596,6.203150582034141,0.06110750287667235
19,0.9101161858974359,0.26635036728320977,0.8624,0.4213474976062775,6.307431329973042,0.05371756372266158
20,0.911678685897436,0.2557621594040822,0.8668,0.4057188881874084,6.295590866822749,0.04624458480584518
21,0.9188902243589744,0.23356358351615758,0.8799,0.3595153890132904,6.282360658980906,0.03885550012649893
22,0.9233573717948718,0.22000346735883983,0.8708,0.42846214637756347,6.328916463069618,0.031715369626264485
23,0.9314302884615384,0.19696402813379582,0.8942,0.32112507343292235,6.234810619149357,0.024983692021806683
24,0.9428285256410256,0.16717215532866808,0.9066,0.29380638942718507,6.258775856345892,0.018810841867046648
25,0.9520232371794872,0.13704910801771358,0.913,0.273854851770401,6.311965199653059,0.013334710434113944
26,0.9656850961538461,0.1026802436615794,0.9217,0.24511792259216308,6.340634126216173,0.00867762545018546
27,0.9766225961538462,0.07152719524903939,0.9293,0.2201591597557068,6.297944443766028,0.004943618498200898
28,0.9855969551282051,0.04641139406519822,0.9361,0.21035097303390504,6.30693088285625,0.0022161011232068434
29,0.9901642628205128,0.03287373702161205,0.9381,0.20520440168380738,6.3122852188535035,0.0005560015562738809
30,0.9916866987179487,0.028740889983824812,0.9387,0.2039080108642578,6.242300094105303,4.036784953214251e-07
