epoch,train_loss,val_loss,val_dice_c0,val_dice_c1,val_dice_c2,val_dice_c3,val_dice_min,val_dice_mean,epoch_seconds,lr
1,0.21563856884689125,0.10435093332614218,0.9965457441575516,0.9147469633362322,0.9447526140303542,0.9703388330737522,0.9147469633362322,0.9565960386494725,33.961469027679414,0.0009972609476841367
2,0.08696127158669842,0.08193948082625865,0.9973815950017809,0.930651127882307,0.9562308315315075,0.97417691539749,0.930651127882307,0.9646101174532713,33.25767627405003,0.0009890738003669028
3,0.07441777059968734,0.09053417140884058,0.9985983489143241,0.9264832077000862,0.9430202426400094,0.9696000509942903,0.9264832077000862,0.9594254625621774,33.36393271712586,0.0009755282581475768
4,0.06604622292720916,0.12509509527257512,0.9983372858317379,0.9288734773340982,0.9251209094515644,0.941818452560822,0.9251209094515644,0.9485375312945556,33.38886611489579,0.0009567727288213003
5,0.0618350033629809,0.06762486919760705,0.9987584278281234,0.9466405115823455,0.9587506288683568,0.9764659434318477,0.9466405115823455,0.9701538779276684,33.42623533634469,0.0009330127018922195
6,0.058724039339071867,0.07981818829263959,0.9991687943906367,0.9506272096589564,0.9487098864128415,0.9632331040422784,0.9487098864128415,0.9654347486261783,33.41772779263556,0.0009045084971874739
7,0.05517864345714746,0.08901028196726526,0.999098583529871,0.943545777353149,0.9425177173405321,0.9625980367686101,0.9425177173405321,0.9619400287480406,33.3680967791006,0.0008715724127386972
8,0.05244321202772935,0.07566921870623317,0.9992156832570728,0.9459292859391634,0.9517140810910314,0.9706527057154613,0.9459292859391634,0.9668779390006823,33.372089598793536,0.0008345653031794292
9,0.04891808982321758,0.0750568336141961,0.9991924690456127,0.9488985664477521,0.9524505971383723,0.9692762572475568,0.9488985664477521,0.9674544724698234,33.57466857274994,0.0007938926261462366
10,0.04604072180508778,0.07300189403550965,0.9993187763316566,0.9375222077237474,0.9529133776957341,0.9785929161356458,0.9375222077237474,0.9670868194716961,33.374871619045734,0.00075
11,0.044477169229248104,0.05779683244015489,0.9992601809986755,0.9583103231042134,0.9639837314777933,0.9774390272301883,0.9583103231042134,0.9747483157027176,33.403446735814214,0.0007033683215379003
12,0.04253471585373018,0.07235232251031058,0.9992953709660044,0.9586627051709907,0.9529629142763495,0.9684431050699104,0.9529629142763495,0.9698410238708137,33.36968740541488,0.0006545084971874739
13,0.04093339220182785,0.07150577205632414,0.9992891257985645,0.9494655454721606,0.9564349673237729,0.9740676952511762,0.9494655454721606,0.9698143334614187,33.45428110798821,0.0006039558454088797
14,0.03958455410274054,0.06717526625309672,0.9993629705685841,0.9464283947046929,0.9594508006829506,0.9780956668303712,0.9464283947046929,0.9708344581966497,33.34981658030301,0.0005522642316338269
15,0.0378624734326901,0.057622427174023216,0.9993451572973566,0.9574011414025784,0.9646588260664503,0.9797436587290052,0.9574011414025784,0.9752871958738476,33.35374864609912,0.0005000000000000002
16,0.03684949282470425,0.06561094676809652,0.9993304612569543,0.9603752923020045,0.9593742877945379,0.9735490361610388,0.9593742877945379,0.9731572693786339,33.605926332995296,0.0004477357683661734
17,0.035152059177935915,0.05497225097247532,0.999391386168978,0.9612033779364799,0.9667472267374299,0.9798943277682364,0.9612033779364799,0.9768090796527811,33.57727806875482,0.00039604415459112036
18,0.03423514382124243,0.05624854005873203,0.9993684627901356,0.9612296400076478,0.9664006002716033,0.9793682957802546,0.9612296400076478,0.9765917497124103,33.357076562941074,0.0003454915028125264
19,0.03356633007847118,0.05640033664447921,0.9994046230021362,0.9610772346060443,0.9662632844132502,0.9795285660138866,0.9610772346060443,0.9765684270088293,33.364930626004934,0.00029663167846210003
20,0.032203032147904105,0.06475281811186245,0.9994207206284406,0.9516374245537653,0.9629659869319628,0.9796183566371641,0.9516374245537653,0.9734106221878333,33.38616633089259,0.00025000000000000017
21,0.03181331716354517,0.05789053046277591,0.9994120530113034,0.960586248887818,0.9661527114812637,0.9798977455473614,0.960586248887818,0.9765121897319367,33.39254613267258,0.00020610737385376354
22,0.030602775289004805,0.05786444709769317,0.9994264092277779,0.961652500103706,0.9662948799212202,0.9798451775748557,0.961652500103706,0.97680474170689,33.32952383207157,0.00016543469682057108
23,0.030079624991839294,0.05919023773499898,0.9994150118591045,0.9615303581676553,0.966534295972694,0.9790561023259127,0.9615303581676553,0.9766339420813416,33.368199430871755,0.00012842758726130303
