epoch,train_accuracy,train_loss,test_accuracy,test_loss,epoch_seconds,lr
1,0.4189703525641026,1.5662987204698415,0.5486,1.2395972244262696,7.441666712984443,0.00689638754100981
2,0.6065905448717949,1.0982762885399353,0.6369,1.0543672912597657,5.396842663642019,0.015236005964551033
3,0.7029647435897436,0.8421697715918223,0.7149,0.8398649297714234,5.513585087843239,0.028012406649843655
4,0.7595552884615384,0.6974259533179112,0.7335,0.8298042394638061,5.446109763812274,0.04368369760672803
5,0.788681891025641,0.6100336729716032,0.7601,0.7239377715110779,5.472484569065273,0.06035862334024337
6,0.8132011217948718,0.5419478371357307,0.7861,0.6473557030677796,5.4839673158712685,0.07602480688614728
7,0.831229967948718,0.4933165558637717,0.8159,0.5567605397701263,5.431454431731254,0.08879160912620936
8,0.8449118589743589,0.44663933110542786,0.803,0.5968410243988037,5.541560097131878,0.09711829643765246
9,0.8563301282051282,0.41849482498871976,0.8081,0.5916473269462585,5.539307724218816,0.09999999632150469
10,0.8631610576923077,0.3956387508756075,0.8293,0.5230726643085479,5.5258039510808885,0.09943868137163711
11,0.872676282051282,0.3710164753672404,0.8226,0.5118784516334534,5.48882753867656,0.09777299244255842
12,0.8772836538461538,0.35657789057646044,0.8411,0.4748315301895142,5.5259243180043995,0.09504013827247612
13,0.8832532051282052,0.34060327443174826,0.8487,0.4444094144821167,5.5599340330809355,0.0913011663076443
14,0.8860777243589744,0.3285901000102361,0.834,0.47977582230567933,5.883499930147082,0.08663959900329207
15,0.8935496794871794,0.3128524532302832,0.8016,0.6602490036010742,5.871349806897342,0.08115956806999063
16,0.8930889423076923,0.310470905708961,0.8329,0.5089267727375031,5.755968667101115,0.07498348834331135
17,0.899198717948718,0.29516200304795537,0.8545,0.4255336905002594,5.594633064698428,0.06824932323868377
18,0.9012820512820513,0.2855778281505291,0.8671,0.4013825620651245,5.474921417888254,0.06110750287667235
19,0.907431891025641,0.2698734827148609,0.8691,0.39411770853996275,5.455845590680838,0.05371756372266158
20,0.9128205128205128,0.2553881552930062,0.8643,0.39951097447872164,5.479371029417962,0.04624458480584518
21,0.9197916666666667,0.23414128390260233,0.8807,0.36319264302253723,5.488343277014792,0.03885550012649893
22,0.9241185897435897,0.22126345296318714,0.87,0.4171268847465515,5.354162639938295,0.031715369626264485
23,0.9315504807692307,0.19666918221956645,0.8975,0.31334318623542784,5.456283045001328,0.024983692021806683
24,0.9434695512820512,0.16680286903029834,0.9055,0.2948094603538513,5.413904548622668,0.018810841867046648
25,0.9517027243589744,0.13889404754990187,0.9106,0.27458959312438963,5.426968854852021,0.013334710434113944
26,0.9654847756410256,0.10344814864488748,0.9266,0.2368270809173584,5.452294021844864,0.00867762545018546
27,0.9757211538461539,0.07338839067767064,0.9294,0.233567733001709,5.4118613000027835,0.004943618498200898
28,0.9844150641025641,0.04776996439800431,0.9373,0.21213604865074157,5.443454524036497,0.0022161011232068434
29,0.9900841346153846,0.03382131349629699,0.9384,0.20998902869224548,5.514116198290139,0.0005560015562738809
30,0.9924879807692307,0.028631307158428126,0.9386,0.2087960821866989,5.448362808208913,4.036784953214251e-07
